,Duration,IDWorker1,IDWorker2
438,30880,1323,1492
439,30900,122,147
440,30900,77,122
441,30900,20,1362
442,30940,20,1414
443,30940,491,1090
444,30940,89,401
445,30960,242,378
446,30960,77,1260
447,30960,242,1362
448,30960,89,432
449,30960,74,1414
450,30960,77,491
451,30960,242,1260
452,30960,74,487
453,30980,3,117
454,30980,432,1245
455,30980,461,1492
456,30980,147,441
457,30980,55,220
458,30980,27,447
459,30980,55,1245
460,30980,71,1323
461,30980,77,387
462,30980,434,1323
463,30980,461,1090
464,30980,603,779
465,30980,117,441
466,30980,77,1323
467,31000,15,117
468,31000,20,215
469,31000,432,1414
470,31000,71,649
471,31000,15,164
472,31000,603,779
473,31000,117,440
474,31020,1362,1492
475,31020,34,653
476,31020,242,487
477,31020,15,372
478,31020,55,1245
479,31020,242,1209
480,31040,378,1090
481,31040,77,985
482,31040,574,1362
483,31040,220,574
484,31040,290,491
485,31040,603,779
486,31040,3,1492
487,31040,215,574
488,31060,242,1414
489,31060,15,372
490,31060,164,487
491,31060,215,220
492,31060,215,977
493,31060,77,242
494,31060,295,425
495,31100,164,574
496,31100,20,977
497,31100,164,1492
498,31120,97,491
499,31120,20,491
500,31120,89,461
501,31120,74,441
502,31120,574,1204
503,31120,74,97
504,31120,3,122
505,31140,295,447
506,31160,55,215
507,31160,77,977
508,31160,491,985
509,31160,117,1260
510,31160,117,441
511,31160,55,117
512,31180,122,147
513,31180,440,1260
514,31180,763,884
515,31180,378,751
516,31180,751,1245
517,31180,20,387
518,31180,20,1414
519,31180,55,1260
520,31200,649,1245
521,31200,3,117
522,31200,649,1090
523,31200,3,461
524,31200,440,461
525,31200,1204,1245
526,31200,3,649
527,31200,426,649
528,31200,432,1090
529,31200,432,461
530,31200,378,720
531,31200,985,1204
532,31200,122,1323
533,31200,122,164
534,31220,378,432
535,31220,158,1090
536,31220,215,1245
537,31220,649,1090
538,31220,1204,1414
539,31220,720,751
540,31220,387,720
541,31220,426,1260
542,31220,491,1204
543,31220,158,1260
544,31220,20,77
545,31220,158,242
546,31220,20,649
547,31220,649,1260
548,31220,487,649
549,31220,77,215
550,31220,751,1204
551,31240,20,985
552,31240,378,1090
553,31240,117,429
554,31240,20,1492
555,31240,20,1204
556,31240,429,441
557,31240,89,1260
558,31240,378,751
559,31240,97,429
560,31240,74,985
561,31240,215,741
562,31240,55,741
563,31240,117,720
564,31240,440,741
565,31240,20,426
566,31240,741,1260
567,31240,220,720
568,31240,77,215
569,31260,164,440
570,31260,628,763
571,31260,461,487
572,31260,461,1260
573,31260,432,487
574,31280,160,165
575,31280,1090,1245
576,31280,162,372
577,31280,159,261
578,31280,461,1090
579,31280,89,440
580,31300,3,158
581,31300,649,1209
582,31300,164,242
583,31300,77,158
584,31300,3,1245
585,31300,429,441
586,31300,77,97
587,31300,440,1090
588,31300,441,487
589,31300,432,751
590,31300,261,491
591,31300,3,649
592,31300,3,1414
593,31300,220,487
594,31300,20,164
595,31300,158,751
596,31300,242,574
597,31300,487,574
598,31300,574,751
599,31320,77,574
600,31320,574,1209
601,31320,434,1204
602,31320,461,1090
603,31320,34,763
604,31320,215,378
605,31320,1204,1414
606,31320,77,649
607,31320,215,1414
608,31320,461,751
609,31320,220,461
610,31320,122,461
611,31320,220,487
612,31320,165,447
613,31320,432,487
614,31320,89,487
615,31320,3,487
616,31320,77,378
617,31340,628,763
618,31340,71,387
619,31340,232,272
620,31340,80,894
621,31340,74,985
622,31360,122,426
623,31380,220,432
624,31380,122,147
625,31380,20,1209
626,31380,162,372
627,31380,55,122
628,31380,215,487
629,31380,158,574
630,31380,574,1414
631,31380,220,574
632,31380,429,1204
633,31380,20,74
634,31380,432,487
635,31380,20,426
636,31380,122,487
637,31380,55,977
638,31380,3,977
639,31380,97,122
640,31400,117,649
641,31400,89,429
642,31400,3,429
643,31400,162,372
644,31400,441,1323
645,31400,432,1414
646,31400,89,985
647,31400,20,117
648,31420,215,461
649,31420,77,242
650,31420,27,165
651,31420,162,372
652,31420,80,894
653,31440,290,432
654,31440,160,165
655,31440,89,122
656,31440,160,628
657,31440,432,1414
658,31440,147,441
659,31440,165,447
660,31440,164,1260
661,31440,261,694
662,31440,160,259
663,31440,432,461
664,31460,89,977
665,31460,461,977
666,31460,162,372
667,31460,77,977
668,31460,259,653
669,31460,261,694
670,31460,122,1245
671,31480,160,884
672,31480,425,763
673,31480,261,694
674,31480,122,1260
675,31500,425,447
676,31500,261,694
677,31520,27,99
678,31520,147,461
679,31520,425,447
680,31520,3,985
681,31520,653,677
682,31520,261,694
683,31540,20,985
684,31540,628,763
685,31540,425,763
686,31540,261,694
687,31540,80,894
688,31560,89,147
689,31560,261,694
690,31560,147,1245
691,31560,432,1090
692,31580,117,441
693,31580,295,447
694,31580,27,295
695,31580,27,165
696,31580,165,447
697,31580,97,1414
698,31580,261,694
699,31580,677,970
700,31600,20,985
701,31600,77,122
702,31600,261,694
703,31600,164,461
704,31600,122,1245
705,31620,147,441
706,31620,3,89
707,31620,261,694
708,31640,74,1209
709,31640,27,62
710,31640,74,215
711,31640,20,215
712,31640,117,461
713,31640,261,694
714,31660,80,894
715,31680,440,487
716,31680,164,1245
717,31700,295,653
718,31700,429,1245
719,31700,89,432
720,31700,1090,1414
721,31700,1323,1362
722,31700,89,1414
723,31700,489,970
724,31700,1323,1492
725,31720,242,977
726,31720,147,985
727,31720,20,429
728,31740,77,977
729,31740,461,1492
730,31740,242,1492
731,31740,15,120
732,31740,261,694
733,31740,77,378
734,31760,461,977
735,31760,1204,1492
736,31760,3,147
737,31760,147,1492
738,31760,1204,1245
739,31760,220,429
740,31760,1260,1323
741,31760,3,985
742,31760,34,295
743,31760,164,432
744,31760,977,985
745,31760,432,461
746,31780,432,1245
747,31780,1245,1492
748,31780,426,1492
749,31780,432,1090
750,31780,1414,1492
751,31780,97,147
752,31780,440,1260
753,31780,461,1260
754,31780,432,461
755,31800,89,977
756,31800,429,1260
757,31800,77,977
758,31800,164,1323
759,31800,378,741
760,31800,74,1362
761,31800,429,1323
762,31800,261,694
763,31800,426,977
764,31800,165,425
765,31820,1245,1492
766,31820,628,880
767,31820,441,1260
768,31820,461,1362
769,31820,89,487
770,31820,378,461
771,31820,77,461
772,31840,487,1245
773,31840,162,372
774,31840,434,487
775,31840,432,1090
776,31840,34,295
777,31840,165,884
778,31840,1090,1323
779,31840,461,1414
780,31840,261,694
781,31840,165,295
782,31840,117,1323
783,31860,89,977
784,31860,432,1362
785,31860,461,977
786,31860,215,461
787,31860,162,372
788,31860,432,461
789,31860,432,1414
790,31860,20,429
791,31860,1209,1414
792,31860,1323,1362
793,31860,259,653
794,31860,165,447
795,31860,259,763
796,31860,97,1323
797,31860,215,985
798,31860,198,267
799,31860,165,425
800,31860,117,1245
801,31880,160,628
802,31880,198,267
803,31900,198,267
804,31900,80,894
805,31900,97,117
806,31920,378,432
807,31920,447,884
808,31920,74,378
809,31920,198,267
810,31920,97,378
811,31920,97,429
812,31920,440,1323
813,31920,97,1323
814,31920,77,97
815,31920,164,1260
816,31920,242,985
817,31920,1323,1492
818,31920,165,295
819,31920,378,461
820,31920,89,242
821,31940,3,97
822,31940,3,117
823,31940,122,429
824,31940,1204,1260
825,31940,198,267
826,31940,441,1204
827,31940,977,1209
828,31940,1245,1260
829,31940,649,779
830,31940,80,894
831,31940,3,164
832,31960,426,1090
833,31960,378,432
834,31960,74,164
835,31960,160,425
836,31960,20,429
837,31960,80,894
838,31960,117,1090
839,31960,198,267
840,31960,429,1090
841,31980,74,215
842,31980,198,267
843,31980,215,977
844,31980,426,985
845,31980,97,242
846,31980,80,894
847,31980,165,425
848,32000,378,461
849,32000,77,378
850,32000,441,1323
851,32000,147,985
852,32000,80,894
853,32000,165,425
854,32020,378,977
855,32020,74,215
856,32020,89,158
857,32020,574,1362
858,32020,165,884
859,32020,165,447
860,32020,378,461
861,32020,621,797
862,32040,20,985
863,32040,763,884
864,32040,74,215
865,32040,426,985
866,32040,165,447
867,32040,80,894
868,32060,198,267
869,32060,14,460
870,32060,34,677
871,32080,460,489
872,32080,574,985
873,32080,489,498
874,32080,425,628
875,32080,34,763
876,32080,460,909
877,32080,468,743
878,32080,27,165
879,32080,245,909
880,32100,464,880
881,32100,468,753
882,32100,372,491
883,32100,34,677
884,32100,464,653
885,32100,468,743
886,32100,242,434
887,32100,743,753
888,32100,461,1362
889,32100,425,447
890,32100,220,720
891,32100,172,184
892,32100,242,441
893,32120,372,491
894,32120,3,147
895,32120,215,426
896,32120,89,432
897,32120,172,184
898,32120,3,1090
899,32120,172,210
900,32120,158,378
901,32120,14,460
902,32120,220,720
903,32120,460,464
904,32120,74,574
905,32140,468,753
906,32140,97,429
907,32140,89,461
908,32140,653,880
909,32140,295,333
910,32140,295,884
911,32140,295,447
912,32140,77,1260
913,32140,89,741
914,32140,261,642
915,32140,441,1260
916,32140,172,210
917,32140,34,763
918,32140,20,1492
919,32140,74,378
920,32140,3,77
921,32140,97,147
922,32140,468,743
923,32140,269,706
924,32140,99,333
925,32140,653,970
926,32140,447,884
927,32140,743,753
928,32140,880,970
929,32140,741,1260
930,32140,220,720
931,32160,147,164
932,32160,215,1362
933,32160,1209,1414
934,32160,468,743
935,32160,743,753
936,32160,165,425
937,32160,468,753
938,32160,295,909
939,32160,426,1323
940,32160,158,1245
941,32160,432,461
942,32180,468,753
943,32180,261,642
944,32180,574,977
945,32180,440,1323
946,32180,426,1323
947,32180,80,894
948,32200,117,147
949,32200,20,1260
950,32200,378,432
951,32200,158,977
952,32200,89,164
953,32200,441,574
954,32200,333,763
955,32200,261,642
956,32200,460,909
957,32200,164,378
958,32200,245,880
959,32200,489,970
960,32200,259,460
961,32200,245,970
962,32200,440,1492
963,32200,34,259
964,32200,1245,1260
965,32200,333,970
966,32200,378,461
967,32220,20,158
968,32220,333,447
969,32220,215,741
970,32220,333,763
971,32220,468,753
972,32220,74,985
973,32220,158,1260
974,32220,706,921
975,32220,147,158
976,32220,215,1245
977,32220,295,425
978,32220,215,985
979,32240,468,753
980,32240,706,921
981,32240,333,763
982,32240,447,763
983,32240,20,122
984,32240,489,909
985,32240,429,1090
986,32240,333,447
987,32240,269,706
988,32240,269,921
989,32240,147,429
990,32240,261,642
991,32240,80,894
992,32260,55,440
993,32260,468,753
994,32260,164,215
995,32260,372,491
996,32260,242,432
997,32260,977,1414
998,32260,55,434
999,32260,333,447
1000,32260,426,985
1001,32260,460,970
1002,32260,434,1323
1003,32260,269,706
1004,32260,215,432
1005,32260,80,894
1006,32260,117,242
1007,32260,20,432
1008,32280,34,165
1009,32280,372,491
1010,32280,242,432
1011,32280,447,763
1012,32280,461,574
1013,32280,333,447
1014,32280,460,970
1015,32280,242,1362
1016,32280,460,489
1017,32280,173,425
1018,32280,1245,1323
1019,32280,160,970
1020,32280,425,628
1021,32280,14,653
1022,32280,173,464
1023,32280,164,1323
1024,32280,464,909
1025,32280,333,763
1026,32280,59,211
1027,32280,80,894
1028,32280,426,985
1029,32280,20,74
1030,32280,99,464
1031,32280,99,489
1032,32280,14,173
1033,32300,158,441
1034,32300,158,440
1035,32300,1362,1492
1036,32300,55,164
1037,32300,372,491
1038,32300,425,628
1039,32300,97,117
1040,32300,447,763
1041,32300,89,1260
1042,32300,97,429
1043,32300,977,1414
1044,32300,333,447
1045,32300,158,1492
1046,32300,147,985
1047,32300,426,1204
1048,32300,211,753
1049,32300,117,441
1050,32300,653,880
1051,32300,1209,1362
1052,32300,20,122
1053,32320,432,1260
1054,32320,74,215
1055,32320,440,741
1056,32320,1090,1260
1057,32320,72,921
1058,32320,3,1260
1059,32320,164,378
1060,32320,3,1492
1061,32320,741,1342
1062,32320,261,751
1063,32320,1090,1204
1064,32320,215,1323
1065,32320,378,1492
1066,32320,3,440
1067,32320,55,1260
1068,32340,117,147
1069,32340,34,165
1070,32340,55,440
1071,32340,215,1245
1072,32340,372,491
1073,32340,55,441
1074,32340,117,741
1075,32340,117,1204
1076,32340,14,489
1077,32340,55,74
1078,32340,99,295
1079,32340,14,970
1080,32340,215,1323
1081,32340,432,440
1082,32340,653,970
1083,32340,119,866
1084,32360,119,866
1085,32360,211,219
1086,32360,242,1245
1087,32360,372,491
1088,32360,74,215
1089,32360,425,628
1090,32360,429,441
1091,32360,156,333
1092,32360,464,653
1093,32360,89,432
1094,32360,122,432
1095,32360,242,432
1096,32360,27,245
1097,32360,261,751
1098,32360,378,441
1099,32360,27,653
1100,32360,429,1090
1101,32360,14,295
1102,32380,34,165
1103,32380,372,491
1104,32380,574,1492
1105,32380,77,1362
1106,32380,1260,1323
1107,32380,425,544
1108,32380,215,1209
1109,32380,426,1492
1110,32380,20,378
1111,32380,34,259
1112,32380,215,574
1113,32400,464,880
1114,32400,259,628
1115,32400,372,491
1116,32400,34,489
1117,32400,628,880
1118,32400,211,706
1119,32400,874,977
1120,32400,173,489
1121,32400,245,909
1122,32400,159,333
1123,32400,425,464
1124,32400,259,909
1125,32420,372,491
1126,32420,27,259
1127,32420,34,489
1128,32420,14,909
1129,32420,14,295
1130,32420,460,970
1131,32420,27,295
1132,32420,89,429
1133,32420,1260,1362
1134,32420,55,1245
1135,32420,1323,1342
1136,32420,295,884
1137,32420,985,1260
1138,32420,1342,1362
1139,32420,160,909
1140,32420,27,628
1141,32420,20,432
1142,32420,20,1209
1143,32420,99,628
1144,32420,20,74
1145,32420,434,1245
1146,32420,874,977
1147,32420,99,884
1148,32420,20,55
1149,32440,55,122
1150,32440,89,1204
1151,32440,574,1323
1152,32440,55,441
1153,32440,34,489
1154,32440,89,432
1155,32440,122,432
1156,32440,55,1245
1157,32440,874,977
1158,32440,117,441
1159,32440,117,1245
1160,32460,3,432
1161,32460,77,985
1162,32460,122,215
1163,32460,574,1492
1164,32460,434,1342
1165,32460,34,489
1166,32460,3,441
1167,32460,215,1362
1168,32460,97,215
1169,32460,27,160
1170,32460,55,74
1171,32460,441,985
1172,32460,117,122
1173,32460,874,977
1174,32460,1260,1342
1175,32460,164,1342
1176,32480,3,158
1177,32480,440,1260
1178,32480,97,158
1179,32480,653,909
1180,32480,15,498
1181,32480,74,378
1182,32480,34,489
1183,32480,3,441
1184,32480,3,55
1185,32480,80,211
1186,32480,378,440
1187,32480,55,164
1188,32480,1323,1492
1189,32480,3,1492
1190,32480,242,440
1191,32500,261,425
1192,32500,34,489
1193,32500,34,884
1194,32500,74,164
1195,32500,215,1323
1196,32520,261,425
1197,32520,34,489
1198,32520,74,164
1199,32520,15,498
1200,32540,34,489
1201,32540,89,220
1202,32540,162,261
1203,32540,97,429
1204,32540,15,498
1205,32560,97,426
1206,32560,372,491
1207,32560,34,489
1208,32560,97,147
1209,32560,20,147
1210,32560,117,242
1211,32560,117,1323
1212,32580,215,1090
1213,32580,429,441
1214,32580,215,1342
1215,32580,89,220
1216,32580,89,720
1217,32580,1342,1362
1218,32580,20,1323
1219,32580,220,720
1220,32580,77,215
1221,32580,34,489
1222,32600,432,977
1223,32600,603,649
1224,32600,333,763
1225,32600,34,489
1226,32600,34,884
1227,32600,99,628
1228,32600,378,1323
1229,32600,3,1204
1230,32620,461,874
1231,32620,147,164
1232,32620,603,649
1233,32620,164,1323
1234,32620,378,1260
1235,32620,34,489
1236,32620,269,959
1237,32620,20,741
1238,32620,741,985
1239,32620,378,441
1240,32620,378,440
1241,32620,97,242
1242,32620,653,880
1243,32620,117,164
1244,32640,464,880
1245,32640,89,220
1246,32640,1204,1492
1247,32640,603,649
1248,32640,461,874
1249,32640,295,628
1250,32640,147,1342
1251,32640,1090,1323
1252,32660,741,1342
1253,32660,461,874
1254,32660,1362,1492
1255,32660,164,242
1256,32660,3,164
1257,32660,164,215
1258,32660,77,1209
1259,32660,34,489
1260,32660,3,441
1261,32660,741,1492
1262,32660,97,429
1263,32660,3,1492
1264,32660,147,1342
1265,32660,215,1323
1266,32660,1245,1260
1267,32660,3,574
1268,32660,574,1260
1269,32680,164,1090
1270,32680,147,1245
1271,32680,74,215
1272,32680,164,1323
1273,32680,1204,1260
1274,32680,34,489
1275,32680,441,1245
1276,32680,1323,1362
1277,32680,59,894
1278,32680,741,1342
1279,32680,215,1492
1280,32680,215,242
1281,32680,147,429
1282,32680,429,1090
1283,32700,461,874
1284,32700,97,426
1285,32700,215,1245
1286,32700,574,1492
1287,32700,3,1245
1288,32700,242,1362
1289,32700,34,489
1290,32700,440,1090
1291,32700,378,1090
1292,32700,59,894
1293,32700,20,242
1294,32700,378,1323
1295,32700,20,429
1296,32700,603,779
1297,32700,117,440
1298,32700,147,1204
1299,32700,77,215
1300,32700,1090,1260
1301,32700,77,1492
1302,32720,34,489
1303,32720,162,261
1304,32720,74,1492
1305,32720,440,441
1306,32720,97,117
1307,32720,1260,1362
1308,32720,1323,1362
1309,32720,59,894
1310,32720,574,1090
1311,32720,440,1204
1312,32720,173,653
1313,32720,3,97
1314,32720,74,215
1315,32720,97,147
1316,32720,215,1204
1317,32720,215,440
1318,32720,97,1260
1319,32720,429,1260
1320,32720,1204,1492
1321,32720,147,1492
1322,32720,741,1342
1323,32720,603,779
1324,32720,122,1245
1325,32740,464,880
1326,32740,3,426
1327,32740,3,441
1328,32740,269,959
1329,32740,3,242
1330,32740,74,985
1331,32740,1209,1323
1332,32740,603,779
1333,32740,74,242
1334,32760,1245,1492
1335,32760,1204,1492
1336,32760,3,147
1337,32760,440,1204
1338,32760,117,741
1339,32760,429,441
1340,32760,198,267
1341,32760,77,1204
1342,32760,242,441
1343,32760,985,1090
1344,32760,440,1323
1345,32760,215,1090
1346,32760,215,429
1347,32760,20,77
1348,32760,261,751
1349,32760,20,426
1350,32760,603,779
1351,32760,215,441
1352,32760,147,429
1353,32760,74,97
1354,32780,122,1362
1355,32780,603,649
1356,32780,158,1342
1357,32780,429,441
1358,32780,3,574
1359,32780,198,267
1360,32780,97,429
1361,32780,74,158
1362,32780,429,574
1363,32780,3,1204
1364,32780,429,1090
1365,32780,122,574
1366,32800,1204,1492
1367,32800,603,649
1368,32800,160,628
1369,32800,147,440
1370,32800,147,1260
1371,32800,74,1492
1372,32800,574,1090
1373,32800,117,741
1374,32800,215,1204
1375,32800,603,779
1376,32800,198,267
1377,32820,378,426
1378,32820,441,1323
1379,32820,1204,1323
1380,32820,215,1209
1381,32820,215,426
1382,32820,198,267
1383,32820,160,1342
1384,32820,603,649
1385,32840,603,649
1386,32840,1260,1492
1387,32840,429,440
1388,32840,429,441
1389,32840,20,441
1390,32840,34,464
1391,32840,198,267
1392,32840,160,1342
1393,32860,160,1342
1394,32860,603,649
1395,32860,544,880
1396,32860,441,1245
1397,32860,34,464
1398,32860,464,628
1399,32860,147,574
1400,32860,441,1204
1401,32860,59,706
1402,32860,97,441
1403,32860,1260,1492
1404,32860,198,267
1405,32860,34,628
1406,32880,122,1362
1407,32880,3,147
1408,32880,464,628
1409,32880,378,441
1410,32880,20,1323
1411,32880,295,884
1412,32880,15,425
1413,32880,122,164
1414,32880,3,574
1415,32880,333,489
1416,32880,147,574
1417,32880,34,464
1418,32880,164,1260
1419,32880,34,628
1420,32880,147,1323
1421,32880,603,649
1422,32880,1090,1492
1423,32880,99,295
1424,32880,173,884
1425,32880,160,1342
1426,32880,198,267
1427,32880,74,97
1428,32880,97,122
1429,32880,173,970
1430,32880,378,1492
1431,32880,122,1245
1432,32900,426,1245
1433,32900,3,97
1434,32900,79,158
1435,32900,122,429
1436,32900,122,1492
1437,32900,3,441
1438,32900,215,1362
1439,32900,97,429
1440,32900,295,544
1441,32900,74,985
1442,32900,34,574
1443,32900,429,1204
1444,32900,215,426
1445,32900,426,985
1446,32900,642,1342
1447,32900,160,1342
1448,32900,122,440
1449,32900,156,236
